Nome,Endereço,Latitude,Longitude,Categoria
Brechó Zoe Brasil,"CLN, 314",-15.744356,-47.8952651,Compras
Eixo,"CLSW 301 Bloco C, 72",-15.7977706538392,-47.9210082475769,Compras
Oba Hortifruti,"Conjunto, 12",-15.8550445,-47.818505,Compras
Frutaria Watanabe,"CLS 411 Bloco A, 22-26",-15.8096451405989,-47.9051327695807,Compras
Pão de Açúcar,SQS 304 BL A,-15.8067703,-47.8955612,Compras
Puket,"SDN CNB Conjunto A, T119",-15.7941454,-47.8825479,Compras
Espaço BooKafé,"SQN ,412",-15.8288934,-47.9100006,Compras
Shopping ID,"Setor Comercial Norte, 6",-15.786904,-47.890614,Compras
Fascar,"SCN - Quadra 05, Bloco A",-15.785646,-47.888682,Compras
Armário da Gabi,"CLSW, 101",-15.798135,-47.920056,Compras
Saraiva Mega Store,SDN CNB Etapa III  lj 2083,-15.7907305,-47.8844109,Compras
BSB Memo,CLN 303,-15.7805293069222,-47.8847137403945,Compras
Thugtrick Store,SDS,-15.795675,-47.884888,Compras
Clube Melissa,"SDN CNB Conjunto A, T119",-15.7903099,-47.8825529,Compras
Carrefour,"SHIS, QI 25",-15.8431061909083,-47.8766012895441,Compras
Pão de Açúcar,CRS 516 BL A  lj 45/46,-15.8283796,-47.9272995,Compras
Track & Field Brasília Shopping,"SCN Quadra 5, Bloco A, Asa Norte",-15.78654,-47.8895665,Compras
Ave Maria Shopping Católico,CRS 505 BL A  lj 12,-15.8066083244914,-47.8987936137872,Compras
Livraria Cultura,SGCV  lt 22,-15.8265500575791,-47.9534930486877,Compras
Pra Você,CLN 111,-15.7530500308008,-47.8902107883911,Compras
Riachuelo,SDN CNB - Conjunto A - Conjunto Nacional,-15.7907495,-47.8844299,Compras
Livraria Musimed,CRS 505 BL A  lj 65,-15.8070097,-47.8987694,Compras
Havaianas,CLS 407 BL A  lj 2,-15.8183498,-47.8958893,Compras
Square Brasilia,"SHN, Qd-5",-15.787909,-47.889552,Compras
Maria Filo,SCN Q 5 BL A  lj 156C,-15.7835998535156,-47.880500793457,Compras
Feira da Torre de TV,SDC,-15.7900444978579,-47.8945991029001,Compras
Kamikaze Graffiti Shop,"SDS CONIC Ed. Miguel Badya, 10",-15.7941454,-47.8825479,Compras
Sapataria Limeira,CLS 310 BL B  lj 22,-15.8197098,-47.9119301,Compras
Terraço Shopping,"Área Octogonal Sul, 2-8",-15.803665,-47.94047,Compras
Mercadinho maori,"Via W1 Norte, 110",-15.75142,-47.8912201,Compras
Oba Hortifruti,SHCN CL 209,-15.757713,-47.883165,Compras
Summer Shop,"CLS 304 Bl. D, 16",-15.8323517,-47.9139176,Compras
Big Box Supermercado,CLSW 301 BL B  lj 26,-15.7978001,-47.9204216,Compras
Riachuelo,CRS 504 BL B  lj 41,-15.8055601,-47.8973503,Compras
Livraria do Chico,"Unb, s/n",-15.76122,-47.8705415,Compras
Centauro,SCN Q 5 BL A  - 1 lj 58S,-15.7835998535156,-47.880500793457,Compras
Carlota Ophir,CLS 116 BLOCO B LOJA 21,-15.8257385,-47.9180099,Compras
Verdurão Camiseta,"SDS  Bloco E, 03",-15.7962392672988,-47.8846737333173,Compras
Avida Calçados,"SHCN, 108",-15.76504,-47.88559,Compras
Farm,"SCN Q, 5",-15.7869068,-47.8892151,Compras
O Jornaleiro,"SQS, 103",-15.8063126,-47.893958,Compras
Arktetonicos Design,CLS 409 BL D  lj 12,-15.8233995,-47.9006691,Compras
Co Mix Comércio Confecções,"SDS Blcoc L, 32",-15.7965720576043,-47.8847786581905,Compras
Orlando Da Sandália,SDC Feira Da Torre De TV,-15.7910198924246,-47.8947982601127,Compras
Hat Shop,"SHC aos entrequadras, 2-8",-15.7950174,-47.9267674,Compras
A Casa do Colegial,"CRS 509 Bloco B, 19",-15.8152399,-47.9090385,Compras
Alphabeto,"CNB Conjunto A, 119",-15.7941454,-47.8825479,Compras
Mercatto,CC Pátio Brasil,-15.7968449,-47.8925449,Compras
Armário Por Liz,CLS 112 BL C  lj 17,-15.8227196,-47.9137611,Compras
Banca do Gilson UnB,Campus Universitário Darcy Ribeiro,-15.7835998535156,-47.880500793457,Compras
Kingdom Comics,Erw S,-15.7954859074546,-47.8845381348544,Compras
MA Griffe Aviamentos,CLS 113 BL C  lj 02,-15.82687,-47.9189415,Compras
Dudalina,"SCN Qd 5, 1° Piso - Bloca A - Lj 298C",-15.7846317,-47.8902937,Compras
Bad Boy,CLS 204 BL B  lj 10,-15.8098898,-47.8896217,Compras
Popsida,SDS BL D LT 27  lj 62,-15.7732389897759,-47.8866614662545,Compras
Pão de Açúcar,EQS 308/309  bl A,-15.81499,-47.9071808,Compras
Negroblue Camisetas,SDS Edifício Miguel Badya,-15.7941454,-47.8825479,Compras
Sapato da Corte,"Conjunto Nacional Brasília, 2",-15.7735664,-47.8861326,Compras
Damyller,"Shopping Conjunto Nacional 1º PISO, Loja T-97",-15.7941454,-47.8825479,Compras
Dress To,"SCN Q 5 BL A, 84",-15.7869068,-47.8892151,Compras
John John,"SCN, Q 5",-15.7869068,-47.8892151,Compras
Mercado Gourmet,"CLSW, 303",-15.8003148,-47.9252987,Compras
Le Lis Blanc Deux Comércio e Confecções Roupas,SCN Q 5 BL A  lj 53L,-15.7835998535156,-47.880500793457,Compras
Constance,"SCLS 308 Bloco A, 30",-15.7941454,-47.8825479,Compras
Top Cat,EQS 302/303,-15.8021248,-47.8939245,Compras
Basic Collection,"CLS 114, Bl. C, Lj. 17",-15.8268977,-47.9191361,Compras
Luigi Bertolli,"Shopping Conjunto Nacional 2º PISO, Loja 2145",-15.7941454,-47.8825479,Compras
Opção Jeans,"Shopping Conjunto Nacional 1º PISO, Loja T-98",-15.7941454,-47.8825479,Compras
Ávida,"Shopping Conjunto Nacional 1º PISO, Loja T-93",-15.7941454,-47.8825479,Compras
TNG,"Shopping Conjunto Nacional 2º PISO, Loja 2111",-15.7941454,-47.8825479,Compras
Mercearia Hitomi,CLS 108 BL B  lj 29,-15.8156204,-47.9024696,Compras
Pão de Açúcar,CCSW 6 L 4,-15.7956696,-47.9296913,Compras
Sol & Vento,"Cls 112 Bl B, 03",-15.8232098,-47.9133911,Compras
Shopping Conjunto Nacional,SDN CNB - Conjunto A,-15.79055,-47.88423,Compras
Don Durica Empório,"Bloco C, Clsw 302",-15.8018106,-47.9261547,Compras
Llolla lab & Peluquero,"CLN 116 bloco B, 47",-15.7398049,-47.8932678,Compras
Pro Vinil,"Setor de Diversões Sul, Edifício Miguel Badya, loja 35",-15.7952789,-47.8847055,Compras
Mercearia Madrid,CLS 103 BL B  lj 20,-15.8071003,-47.8930206,Compras
Casa Publicadora Brasileira,SDS BL Q  lj 5,-15.7965498,-47.8935394,Compras
Lacoste,SCN Q 2 BL D  lj 371,-15.7835998535156,-47.880500793457,Compras
Lojas Renner,SCN Q 5 BL A 1,-15.7835998535156,-47.880500793457,Compras
Espaço Ferrugem,"Sria II QE, 19",-15.83877,-47.972141,Compras
Peça Rara,"CLN, 204",-15.7594761,-47.8817613,Compras
Super Cruzeiro,SHCES 1205 Bloco H Loja 47,-15.7946941,-47.93558,Compras
Baby Dreams,CLS 410 BL B  lj 8,-15.8267899,-47.9064217,Compras
Super Maia Supermercado,CRS 508 BL C  lj 43,-15.8137999,-47.9070892,Compras
Tanaka Mercearia e Frutaria,"Clsw 303 Bl A , 22",-15.826691,-47.9218204,Compras
Lojinha da Criança,SCLRN 707 BL A  lj 7,-15.7692604,-47.889679,Compras
Oba Hortifruti,"CLS, 212",-15.8110901,-47.88591,Compras
Atalaia Açougue e Sacolão,"CLS, 313",-15.8235063636759,-47.9174967482686,Compras
Acácia Modas,SHSC ED 302-303 Bl. A Loja 138 Térreo,-15.8019588,-47.8923966,Compras
Sacolão do Povo,Rodoviária do Plano Piloto,-15.7943857,-47.8835287,Compras
Dona de Casa,"CLSW, 104",-15.803483,-47.929158,Compras
Alfaiataria Tadeu,"SDN CNB Conjunto A, T119",-15.7907305,-47.8844109,Compras
Comercial Varca,CLS 308 BL D  lj 2,-15.8151903,-47.9070206,Compras
Saraiva,"SCS Q 1 Bloco H,  28",-15.7987099,-47.8858414,Compras
So Cute,CLSW 102 Bl A Loja 78 - Sudoeste,-15.7994236478458,-47.9221514378447,Compras
Paulus,SCS Q 1 BL I  lj 15/16,-15.7986898,-47.885849,Compras
Atacadão,"QD STN - CONJUNTO H, S/N",-15.826691,-47.9218204,Compras
Bijou Arte,"SCLN, 311",-15.7561167255328,-47.890706873819,Compras
Galeria Cruzeiro Center,SRES,-15.788396,-47.940828,Compras
Opção Jeans,"SCN Q, 5",-15.7869068,-47.8892151,Compras
Marvi Bazar,"CLSW 103 Bloco A, 62",-15.8010635,-47.9248713,Compras
Hering,"SCN Q 5 BL A, 84",-15.7869068,-47.8892151,Compras
M. Officer,"SCN Q 5 BL A, 84",-15.7869068,-47.8892151,Compras
Osklen,"SCN Quadra, 5",-15.7869068,-47.8892151,Compras
Super Adega,"Sia Trecho, 12",-15.79043,-47.94371,Compras
Pão de Açúcar,"SHIS QI, 5",-15.8456428130021,-47.8949067311523,Compras
Sindicato Coletivo de Arte,"SHIGS 705 Bloco A, 35",-15.8057363,-47.9010516,Compras
Livraria da Comunhão Espírita,"Av. L2 Sul, 604",-15.7935913,-47.8755278,Compras
Abalo,SDS CONIC,-15.795495,-47.884728,Compras
Sapato da Corte,CLSW 301 BL A  lj 2,-15.79743,-47.9197502,Compras
Distribuidora de Bebidas Cardoso,"SHCES 307 Bloco C, 3",-15.7956735329473,-47.942102604013,Compras
Brooksfield,SDN Lote Único  lj T90,-15.7907305,-47.8844109,Compras
AD,SDN CNB Conjunto A - T.119 1 andar,-15.7914489,-47.8831873,Compras
Enlace Modas,EQS 302/303  lj 7,-15.8024502,-47.8934402,Compras
Comprei em Paris,"CLS 308 Bloco A, 8",-15.8016589,-47.9287279,Compras
Walmart,SIA TR 16,-15.7894734592288,-47.9448674935934,Compras
JOB Uniformes Profis. e Escolares,"CLN 308 Bloco C,  55",-15.7628096,-47.8889418,Compras
Ateliermix,SHC/SW CLSW 102 - Bloco C - Lojas 20/22,-15.8071999,-47.8991079,Compras
Tigrão Hortifruti,CLS 409 BL A  lj 30/36,-15.8224096,-47.9014282,Compras
Espaço Laje,SHIGS 708 Bloco A Casa 47,-15.8084128,-47.9039588,Compras
Colcci,SCN Q 5 BL A  lj 302C lj 306C,-15.7833204,-47.8875008,Compras
Verde Manga,"CLSW 302 Bloco B, 60",-15.7983179,-47.9233392,Compras
TNG,SCS Q 7 BL A  lj 10C pi 2,-15.79632,-47.8858414,Compras
Turquesa Boutique,"Cl Quadra 113 Bloco B, SN - Loja 10",-15.7941454,-47.8825479,Compras
Super Maia Supermercado,"SCLN 306 Bloco B, Subsolo",-15.7735664,-47.8861326,Compras
Pão de Açúcar,"EQN, 508-509",-15.76289,-47.890479,Compras
Divertess,CC Boulevard,-15.7560551,-47.8958559,Compras
Clichê Urban Wear,"SCRLN, 707",-15.7542725,-47.894724,Compras
Papelaria Brito,SHCGN 706 BL H  lj 25,-15.7712698,-47.891201,Compras
Hat Shop,"SCN Q 5 BL A, 84",-15.7869068,-47.8892151,Compras
Super Cruzeiro,"SHCES, 1205",-15.7971355,-47.9368368,Compras
Corpo N Água,SDN Lote Único  s 2121,-15.7907305,-47.8844109,Compras
Zara Brasil,SDN Lote Único  lj C02,-15.7907305,-47.8844109,Compras
H Stern,SDN Lote Único  cj A lj T108,-15.7907305,-47.8844109,Compras
Leitura,Centro Comercial Conjunto Nacional,-15.7914489,-47.8831873,Compras
First Class,CC Boulevard,-15.7560551,-47.8958559,Compras
Mercados Framelia,CLS 113 BL B  lj 4,-15.82726,-47.9186287,Compras
Amor Próprio,CC Boulevard,-15.7560551,-47.8958559,Compras
Maison Ana Paula,"SHIS QI 05 Bloco D, 1-2",-15.8467242,-47.8933263,Compras
Brotinho Couros,CLS 310 BL B  lj 26/30,-15.8197098,-47.9119301,Compras
Aymoré Couros,CRS 511 BL B  lj 27,-15.8190804,-47.9143906,Compras
Leitura,Via W3 Sul 1758-1796,-15.7959422204317,-47.8919404878104,Compras
Lojas Renner,"SAI SO, 6580",-15.8332511817178,-47.9562211320933,Compras
Ventura Souto,"CLSW, 302",-15.8013169,-47.9255098,Compras
Saraiva,CC Patio Brasil,-15.7967476254407,-47.8916772608882,Compras
Usadão Brasília,CLN 312 BL C  lj 23,-15.7502003,-47.8928719,Compras
Dom Pedro Discos,"412 Norte Bloco C, 20",-15.7405643,-47.8881597,Compras
Foco Papelaria e Livraria,CLS 204 BL A  lj 10,-15.8096104,-47.8899689,Compras
2 Tempos Confecções,CLS 305 BL A  lj 27,-15.8080797,-47.8966408,Compras
Constance,CC Boulevard,-15.8078949258512,-47.8971364349127,Compras
Kingdom Camisetas,"CLN 108 Bloco D, 28",-15.7650183,-47.8863541,Compras
Constance,"SCLN 313 Bloco E, 64",-15.7502607,-47.8938086,Compras
Daslu,CC Park Shopping,-15.8335293,-47.9552629,Compras
Leitura,SCES Trecho 02 Conjunto 32,-15.8184178030075,-47.8742529570036,Compras
Feira do Setor Comercial Sul,"SCS, quadra 2, 3 e 4",-15.7980683974771,-47.8875689952758,Compras
BIG BOX Supermercados,SHC/S EQ 412/413 - Bloco A,-15.8319244,-47.910975,Compras
Supermaia Supermercado,SHCES Q 1101  lt 8,-15.7993402,-47.9384804,Compras
Carrefour,SOFN Q 1  ae 1,-15.7835998535156,-47.880500793457,Compras
Enfance,CLN 403 BL A,-15.7800598,-47.8766098,Compras
Musa BSB,"CLN, 313",-15.7500962,-47.8934223,Compras
Educação e Cia,CC Boulevard,-15.7560551,-47.8958559,Compras
Viaduct Moda e Acessórios,CLN 112 BL B  lj 72,-15.7525702,-47.8894806,Compras
Arezzo Outlet,"CLS 206 Bl. C, 02",-15.8144703,-47.8947182,Compras
Umidade Relativa,CLN 108 BL A  lj 12,-15.7648697,-47.8850288,Compras
Los Rockers,"Setor de Clubes Esportivos Sul (SCES) Trecho, 02",-15.8186985,-47.8552866,Compras
Brasília Shopping,"SCN, 5",-15.7866814040579,-47.8890869292254,Compras
Pisa Leve,CLSW 303 BL A,-15.8006001,-47.9253006,Compras
Saara,QNG Mercado Norte Setor  01 Loja 11,-15.8107481,-48.065751,Compras
Nanda manu,"Sul, 206",-15.783406,-47.899899,Compras
Cotidiano Livraria de Conveniência,CLS 201 BL C  lj 15,-15.8051596,-47.8844986,Compras
312 Frutas,CLN 312,-15.7504035,-47.8929873,Compras
Viva Farma,SCLS 307,-15.8120554788798,-47.9027064500241,Compras
Livraria Leitura,"Shc / Aos 02/08, Lote 05 - Lojas 244 e 248 -Terraço Shopping",-15.7950174,-47.9267674,Compras
Outer,"BSCN Qd, 05",-15.786767,-47.8889043,Compras
Sapato da Corte,CLS 308 BL A  lj 6,-15.8161802,-47.90625,Compras
Sacolão Saheki,"CLN 314 Bl. E, 20-34",-15.7502607,-47.8938086,Compras
Shopping Fashion Mall,"EQS, 302-303",-15.8024502,-47.8934402,Compras
Guida Boutique,CLN 303 BL C  lj 12,-15.7807102,-47.8852692,Compras
